County, FIPS,cancer_incidence_per_100000
"Vermilion Parish, Louisiana(7,9)",22113,529.1
"Saline County, Nebraska(6,10)",31151,529
"Wayne County, Michigan(7,8)",26163,528.7
"Lee County, Kentucky(7,9)",21129,528.6
"Fleming County, Kentucky(7,9)",21069,528.5
"Tucker County, West Virginia(6,10)",54093,528.4
"Wexford County, Michigan(6,10)",26165,528.4 #  
"Dickinson County, Iowa(7,8)",19059,528.4
"Calhoun County, Iowa(7,8)",19025,528.1
"Suffolk County, New York(6,10)",36103,528
"Martin County, Indiana(6,10)",18101,527.7
"Letcher County, Kentucky(7,9)",21133,527.4
"Towner County, North Dakota(6,10)",38095,527.4
"Lawrence County, Mississippi(6,10)",28077,527.4
"Calhoun County, Mississippi(6,10)",28013,527.3
"Humphreys County, Tennessee(6,10)",47085,527.3
"Quitman County, Georgia(7,9)",13239,527.2
"Northampton County, Virginia(6,10)",51131,527.2
"Kent County, Delaware(6,10)",10001,527.2
"Hamilton County, New York(6,10)",36041,526.9
"West Baton Rouge Parish, Louisiana(7,9)",22121,526.7
"Nelson County, Virginia(6,10)",51125,526.7
"Forrest County, Mississippi(6,10)",28035,526.5
"Union County, Tennessee(6,10)",47173,526.2
"Onondaga County, New York(6,10)",36067,525.9
"Mason County, Illinois(6,10)",17125,525.8
"Northampton County, Pennsylvania(6,10)",42095,525.7
"Jefferson County, Illinois(6,10)",17081,525.6
"Middlesex County, Virginia(6,10)",51119,525.6
"Martinsville City, Virginia(6,10)",51690,525.4
"McLean County, Kentucky(7,9)",21149,525.3
"Delaware County, Pennsylvania(6,10)",42045,525.2
"Boyd County, Kentucky(7,9)",21019,525
"Caldwell County, Kentucky(7,9)",21033,525
"Ocean County, New Jersey(7,8)",34029,524.9
"Daviess County, Kentucky(7,9)",21059,524.8
"Lawrence County, Kentucky(7,9)",21127,524.8
"Golden Valley County, Montana(6,10)",30037,524.5
"Pulaski County, Illinois(6,10)",17153,524.5
"Lenoir County, North Carolina(6,10)",37107,524.4
"Rockcastle County, Kentucky(7,9)",21203,524.4
"Winn Parish, Louisiana(7,9)",22127,524.4
"Beaufort County, North Carolina(6,10)",37013,524.2
"Taylor County, Kentucky(7,9)",21217,524.1
"Logan County, West Virginia(6,10)",54045,523.9
"Madison County, Kentucky(7,9)",21151,523.5
"Tunica County, Mississippi(6,10)",28143,523.3
"Pulaski County, Kentucky(7,9)",21199,523.2
"Lincoln County, Kentucky(7,9)",21137,523.1
"Clark County, Kentucky(7,9)",21049,522.6
"Polk County, Texas(6,10)",48373,522.6
"Amelia County, Virginia(6,10)",51007,522.5
"Refugio County, Texas(6,10)",48391,522.1
"Breathitt County, Kentucky(7,9)",21025,522.1
"Cortland County, New York(6,10)",36023,522
"Gregory County, South Dakota(6,10)",46053,521.9
"Lycoming County, Pennsylvania(6,10)",42081,521.8
"Pulaski County, Missouri(6,10)",29169,521.6
"Sanborn County, South Dakota(6,10)",46111,521.4
"Clinton County, Kentucky(7,9)",21053,521.3
"Chickasaw County, Mississippi(6,10)",28017,521.3
"Marion County, Tennessee(6,10)",47115,521.2
"Grand Traverse County, Michigan(6,10)",26055,521.2 #  
"Clay County, Illinois(6,10)",17025,521
"Oswego County, New York(6,10)",36075,520.6
"Genesee County, New York(6,10)",36037,520.5
"Boone County, Nebraska(6,10)",31011,520.4
"Lee County, Georgia(7,9)",13177,520.4
"Rockingham County, North Carolina(6,10)",37157,520.3
"Vermilion County, Illinois(6,10)",17183,520.2
"Wayne County, Missouri(6,10)",29223,520.2
"Brown County, Illinois(6,10)",17009,520.2
"La Salle County, Illinois(6,10)",17099,519.9
"Jefferson County, Kentucky(7,9)",21111,519.9
"Wrangell-Petersburg Census Area, Alaska(6,10)",2280,519.7
"Oldham County, Kentucky(7,9)",21185,519.6
"Hart County, Kentucky(7,9)",21099,519.5
"Stillwater County, Montana(6,10)",30095,519.3
"Allegany County, Maryland(6,10)",24001,519.3
"Granville County, North Carolina(6,10)",37077,519.2
"Livingston County, Illinois(6,10)",17105,519
"Montgomery County, Kentucky(7,9)",21173,518.9
"Rockingham County, New Hampshire(6,10)",33015,518.8
"Campbell County, Kentucky(7,9)",21037,518.7
"Jackson Parish, Louisiana(7,9)",22049,518.6
"Grays Harbor County, Washington(7,8)",53027,518.4
"Pike County, Kentucky(7,9)",21195,518.3
"Union County, South Dakota(6,10)",46127,518.1
"Cattaraugus County, New York(6,10)",36009,517.8
"Plymouth County, Massachusetts(6,10)",25023,517.7
"Edwards County, Illinois(6,10)",17047,517.6
"Hamilton County, Illinois(6,10)",17065,517.5
"Marion County, Missouri(6,10)",29127,517.2
"Lee County, Mississippi(6,10)",28081,517.1
"St. Bernard Parish, Louisiana(7,9)",22087,516.9
"Flathead County, Montana(6,10)",30029,516.8
"Polk County, Georgia(7,9)",13233,516.7
"Salem County, New Jersey(7,8)",34033,516.6
"Swain County, North Carolina(6,10)",37173,516.6
"Garrard County, Kentucky(7,9)",21079,516.6
"Wapello County, Iowa(7,8)",19179,516.3
"McClain County, Oklahoma(6,10)",40087,516.3
"Thomas County, Nebraska(6,10)",31171,516.2
"Foster County, North Dakota(6,10)",38031,516.2
"Gallatin County, Kentucky(7,9)",21077,516
"McLean County, North Dakota(6,10)",38055,515.6
"Iberia Parish, Louisiana(7,9)",22045,515.4
"Monroe County, Arkansas(6,10)",5095,515.3
"Columbia County, Pennsylvania(6,10)",42037,515.2
"Sangamon County, Illinois(6,10)",17167,515.2
"Fall River County, South Dakota(6,10)",46047,515.1
"Claiborne County, Tennessee(6,10)",47025,515
"Ingham County, Michigan(6,10)",26065,514.9 #  
"Elk County, Pennsylvania(6,10)",42047,514.8
"King William County, Virginia(6,10)",51101,514.8
"Owen County, Kentucky(7,9)",21187,514.8
"Knox County, Ohio(6,10)",39083,514.7
"Stewart County, Tennessee(6,10)",47161,514.7
"Wetzel County, West Virginia(6,10)",54103,514.6
"Oneida County, Wisconsin(6,10)",55085,514.4
"Richmond County, New York(6,10)",36085,514.4
"Genesee County, Michigan(6,10)",26049,514.3 #  
"Nassau County, New York(6,10)",36059,514.3
"St. Francois County, Missouri(6,10)",29187,513.8
"Grant County, Kentucky(7,9)",21081,513.7
"Anderson County, Kentucky(7,9)",21005,513.5
"Copiah County, Mississippi(6,10)",28029,513.2
"Lincoln County, West Virginia(6,10)",54043,513.2
"De Witt County, Illinois(6,10)",17039,512.9
"Gray County, Texas(6,10)",48179,512.8
"Stewart County, Georgia(7,9)",13259,512.8
"East Carroll Parish, Louisiana(7,9)",22035,512.7
"Yancey County, North Carolina(6,10)",37199,512.6
"Pickens County, Georgia(7,9)",13227,512.6
"Hardin County, Kentucky(7,9)",21093,512.4
"Chenango County, New York(6,10)",36017,512.4
"Roanoke City, Virginia(6,10)",51770,512.4
"Franklin County, Kentucky(7,9)",21073,512.2
"Somerset County, Maryland(6,10)",24039,511.9
"Webster County, West Virginia(6,10)",54101,511.9
