County, FIPS,cancer_incidence_per_100000
"Bossier Parish, Louisiana(7,9)",22015,490.9
"Whatcom County, Washington(7,8)",53073,490.9
"Tuolumne County, California(7,9)",6109,490.8
"Montour County, Pennsylvania(6,10)",42093,490.8
"Bourbon County, Kentucky(7,9)",21017,490.8
"Montgomery County, Pennsylvania(6,10)",42091,490.8
"Forsyth County, North Carolina(6,10)",37067,490.7
"Will County, Illinois(6,10)",17197,490.7
"Allegany County, New York(6,10)",36003,490.7
"Rosebud County, Montana(6,10)",30087,490.7
"Forest County, Wisconsin(6,10)",55041,490.6
"Richmond County, North Carolina(6,10)",37153,490.6
"Edmonson County, Kentucky(7,9)",21061,490.6
"Marshall County, Illinois(6,10)",17123,490.6
"Marshall County, Tennessee(6,10)",47117,490.5
"Monroe County, Iowa(7,8)",19135,490.5
"Bryan County, Georgia(7,9)",13029,490.5
"Kankakee County, Illinois(6,10)",17091,490.4
"Vance County, North Carolina(6,10)",37181,490.4
"New London County, Connecticut(7,8)",9011,490.4
"Calcasieu Parish, Louisiana(7,9)",22019,490.4
"Morgan County, Indiana(6,10)",18109,490.3
"Cherokee County, Georgia(7,9)",13057,490.2
"Polk County, Florida(6,10)",12105,490.2
"Twiggs County, Georgia(7,9)",13289,490.1
"Nassau County, Florida(6,10)",12089,490.1
"Marion County, Florida(6,10)",12083,490.1
"Breckinridge County, Kentucky(7,9)",21027,490
"Tangipahoa Parish, Louisiana(7,9)",22105,489.9
"Tooele County, Utah(7,8)",49045,489.9
"Kitsap County, Washington(7,8)",53035,489.8
"Appanoose County, Iowa(7,8)",19007,489.7
"Athens County, Ohio(6,10)",39009,489.6
"Jackson County, Indiana(6,10)",18071,489.6
"Johnson County, Illinois(6,10)",17087,489.6
"Hamblen County, Tennessee(6,10)",47063,489.4
"Cheshire County, New Hampshire(6,10)",33005,489.4
"Butte County, California(7,9)",6007,489.2
"Emmet County, Michigan(6,10)",26047,489.1 #  
"Cumberland County, Illinois(6,10)",17035,489
"Fairfield County, Connecticut(7,8)",9001,489
"Napa County, California(7,9)",6055,488.9
"Bullock County, Alabama(6,10)",1011,488.8
"Wood County, West Virginia(6,10)",54107,488.8
"Middlesex County, Connecticut(7,8)",9007,488.8
"Black Hawk County, Iowa(7,8)",19013,488.7
"York County, Pennsylvania(6,10)",42133,488.7
"Morgan County, Tennessee(6,10)",47129,488.7
"Calhoun County, Georgia(7,9)",13037,488.6
"Davidson County, North Carolina(6,10)",37057,488.6
"Suffolk County, Massachusetts(6,10)",25025,488.6
"Morris County, New Jersey(7,8)",34027,488.5
"Clinton County, Ohio(6,10)",39027,488.5
"St. Louis County, Missouri(6,10)",29189,488.5
"Baker County, Georgia(7,9)",13007,488.4
"Glascock County, Georgia(7)",13125,488.4
"St. Clair County, Illinois(6,10)",17163,488.4
"Franklin County, Iowa(7,8)",19069,488.4
"Greene County, Illinois(6,10)",17061,488.4
"Cambria County, Pennsylvania(6,10)",42021,488.3
"Madison County, Missouri(6,10)",29123,488.3
"Putnam County, Florida(6,10)",12107,488.3
"Dubuque County, Iowa(7,8)",19061,488.1
"Montgomery County, Illinois(6,10)",17135,488.1
"St. Clair County, Michigan(6,10)",26147,488 #  
"Crawford County, Missouri(6,10)",29055,488
"Geneva County, Alabama(6,10)",1061,488
"Bennington County, Vermont(6,10)",50003,488
"Hardin County, Iowa(7,8)",19083,487.9
"Peach County, Georgia(7,9)",13225,487.9
"Morton County, North Dakota(6,10)",38059,487.9
"Scotland County, North Carolina(6,10)",37165,487.8
"Venango County, Pennsylvania(6,10)",42121,487.7
"Monroe County, Illinois(6,10)",17133,487.6
"Grant County, Indiana(6,10)",18053,487.6
"Dodge County, Nebraska(6,10)",31053,487.5
"Lawrence County, Alabama(6,10)",1079,487.4
"Tioga County, Pennsylvania(6,10)",42117,487.3
"Lafayette Parish, Louisiana(7,9)",22055,487.3
"Fremont County, Iowa(7,8)",19071,487.2
"Itawamba County, Mississippi(6,10)",28057,487.2
"East Baton Rouge Parish, Louisiana(7,9)",22033,487.1
"Floyd County, Georgia(7,9)",13115,487.1
"Caswell County, North Carolina(6,10)",37033,487.1
"Prince of Wales-Outer Ketchikan, Alaska(6,10)",2201,487.1
"Knox County, Indiana(6,10)",18083,487.1
"Kenton County, Kentucky(7,9)",21117,487
"Sussex County, Virginia(6,10)",51183,486.9
"Goochland County, Virginia(6,10)",51075,486.9
"Jackson County, Mississippi(6,10)",28059,486.8
"Hartford County, Connecticut(7,8)",9003,486.8
"Turner County, Georgia(7,9)",13287,486.8
"Westchester County, New York(6,10)",36119,486.7
"Dutchess County, New York(6,10)",36027,486.7
"Menard County, Illinois(6,10)",17129,486.6
"Shelby County, Kentucky(7,9)",21211,486.6
"Mellette County, South Dakota(6,10)",46095,486.5
"Morgan County, Illinois(6,10)",17137,486.5
"Smith County, Tennessee(6,10)",47159,486.5
"Webster County, Iowa(7,8)",19187,486.3
"Bureau County, Illinois(6,10)",17011,486.3
"Blackford County, Indiana(6,10)",18009,486.2
"Chester County, Pennsylvania(6,10)",42029,486.2
"Mills County, Iowa(7,8)",19129,486
"Clinton County, Pennsylvania(6,10)",42035,486
"Warren County, New Jersey(7,8)",34041,485.9
"New Castle County, Delaware(6,10)",10003,485.9
"Iroquois County, Illinois(6,10)",17075,485.8
"Harford County, Maryland(6,10)",24025,485.5
"DeKalb County, Illinois(6,10)",17037,485.5
"Schuylkill County, Pennsylvania(6,10)",42107,485.5
"Adams County, Nebraska(6,10)",31001,485.3
"Webster Parish, Louisiana(7,9)",22119,485.3
"Mifflin County, Pennsylvania(6,10)",42087,485.2
"Deschutes County, Oregon(6,10)",41017,485.2
"Woodford County, Kentucky(7,9)",21239,485.2
"St. Louis City, Missouri(6,10)",29510,485.1
"Hill County, Montana(6,10)",30041,485.1
"Mountrail County, North Dakota(6,10)",38061,485.1
"Burt County, Nebraska(6,10)",31021,485.1
"Cuyahoga County, Ohio(6,10)",39035,485
"Lowndes County, Georgia(7,9)",13185,485
"Custer County, Montana(6,10)",30017,485
"Knox County, Maine(6,10)",23013,484.9
"Henry County, Iowa(7,8)",19087,484.9
"Rapides Parish, Louisiana(7,9)",22079,484.9
"Rusk County, Wisconsin(6,10)",55107,484.9
"Auglaize County, Ohio(6,10)",39011,484.8
"Shelby County, Indiana(6,10)",18145,484.7
"Lapeer County, Michigan(6,10)",26087,484.6 #  
"Georgetown County, South Carolina(6,10)",45043,484.6
"Tipton County, Tennessee(6,10)",47167,484.6
"Perry County, Arkansas(6,10)",5105,484.6
"Ontario County, New York(6,10)",36069,484.6
"Blaine County, Montana(6,10)",30005,484.6
"Ascension Parish, Louisiana(7,9)",22005,484.5
"Knox County, Tennessee(6,10)",47093,484.4
"Bradford County, Pennsylvania(6,10)",42015,484.4
"Montmorency County, Michigan(6,10)",26119,484.4 #  
"Lauderdale County, Tennessee(6,10)",47097,484.4
"Cecil County, Maryland(6,10)",24015,484.3
"Orange County, Texas(6,10)",48361,484.3
"Hot Springs County, Wyoming(6,10)",56017,484.2
"Jay County, Indiana(6,10)",18075,484.2
"Ozaukee County, Wisconsin(6,10)",55089,484.1
"Lee County, Illinois(6,10)",17103,484.1
"Seminole County, Oklahoma(6,10)",40133,484.1
"McCracken County, Kentucky(7,9)",21145,484.1
"Waldo County, Maine(6,10)",23027,484
"Lehigh County, Pennsylvania(6,10)",42077,484
"Jefferson County, Tennessee(6,10)",47089,484
"Henry County, Alabama(6,10)",1067,484
"Clay County, Indiana(6,10)",18021,483.9
"Winnebago County, Wisconsin(6,10)",55139,483.9
"Oconto County, Wisconsin(6,10)",55083,483.9
"Warren County, Kentucky(7,9)",21227,483.8
"Sawyer County, Wisconsin(6,10)",55113,483.8
"Lake County, Ohio(6,10)",39085,483.8
"Troup County, Georgia(7,9)",13285,483.7
"Rankin County, Mississippi(6,10)",28121,483.7
"McDowell County, North Carolina(6,10)",37111,483.7
"District of Columbia(6,10)",11001,483.7
"Moore County, North Carolina(6,10)",37125,483.6
"Boone County, Kentucky(7,9)",21015,483.6
"Hancock County, Tennessee(6,10)",47067,483.5
"Henry County, Missouri(6,10)",29083,483.4
"Pickett County, Tennessee(6,10)",47137,483.4
"Muskogee County, Oklahoma(6,10)",40101,483.4
"Charlevoix County, Michigan(6,10)",26029,483.4 #  
"Cabell County, West Virginia(6,10)",54011,483.4
"Monona County, Iowa(7,8)",19133,483.2
"Cook County, Georgia(7,9)",13075,483.1
"Clinton County, Iowa(7,8)",19045,483.1
"Dorchester County, South Carolina(6,10)",45035,483.1
"Laurens County, South Carolina(6,10)",45059,482.9
"Garfield County, Nebraska(6,10)",31071,482.9
"Delaware County, Indiana(6,10)",18035,482.9
"Monroe County, Tennessee(6,10)",47123,482.9
"Coosa County, Alabama(6,10)",1037,482.9
"Wayne County, Georgia(7,9)",13305,482.8
"Lackawanna County, Pennsylvania(6,10)",42069,482.8
"Schenectady County, New York(6,10)",36093,482.8
"Grant Parish, Louisiana(7,9)",22043,482.7
"Furnas County, Nebraska(6,10)",31065,482.7
"Buchanan County, Iowa(7,8)",19019,482.7
"Lyon County, Kentucky(7,9)",21143,482.7
"Audrain County, Missouri(6,10)",29007,482.6
"Stark County, Illinois(6,10)",17175,482.6
"Washington County, Pennsylvania(6,10)",42125,482.5
"Prairie County, Montana(6,10)",30079,482.4
"Hall County, Georgia(7,9)",13139,482.4
"Elmore County, Alabama(6,10)",1051,482.4
"Chippewa County, Wisconsin(6,10)",55017,482.4
"Montgomery County, Iowa(7,8)",19137,482.3
"Gaston County, North Carolina(6,10)",37071,482.3
"Hillsborough County, New Hampshire(6,10)",33011,482.2
"Mahaska County, Iowa(7,8)",19123,482.1
"Tattnall County, Georgia(7,9)",13267,482
"Vigo County, Indiana(6,10)",18167,482
"Mercer County, North Dakota(6,10)",38057,482
"Cumberland County, Tennessee(6,10)",47035,481.9
"Crawford County, Pennsylvania(6,10)",42039,481.8
"Carroll County, New Hampshire(6,10)",33003,481.8
"Sheboygan County, Wisconsin(6,10)",55117,481.7
"Wilkes County, Georgia(7,9)",13317,481.7
"Brooke County, West Virginia(6,10)",54009,481.6
"Dorchester County, Maryland(6,10)",24019,481.6
"Cleveland County, North Carolina(6,10)",37045,481.6
"Cooper County, Missouri(6,10)",29053,481.5
"Hettinger County, North Dakota(6,10)",38041,481.5
"Polk County, Iowa(7,8)",19153,481.1
"Sioux County, North Dakota(6,10)",38085,481.1
"Surry County, North Carolina(6,10)",37171,481.1
"Carroll County, Georgia(7,9)",13045,481
"Gasconade County, Missouri(6,10)",29073,481
"Washington County, Idaho(6,10)",16087,481
"Litchfield County, Connecticut(7,8)",9005,480.9
"Jefferson County, Washington(7,8)",53031,480.9
"Fayette County, Illinois(6,10)",17051,480.9
"Ouachita Parish, Louisiana(7,9)",22073,480.9
"Bibb County, Georgia(7,9)",13021,480.8
"Forsyth County, Georgia(7,9)",13117,480.8
"Herkimer County, New York(6,10)",36043,480.7
"Muscatine County, Iowa(7,8)",19139,480.5
"Poinsett County, Arkansas(6,10)",5111,480.5
"Norfolk City, Virginia(6,10)",51710,480.5
"Concordia Parish, Louisiana(7,9)",22029,480.4
"Wayne County, Kentucky(7,9)",21231,480.4
"Hardeman County, Tennessee(6,10)",47069,480.3
"Clallam County, Washington(7,8)",53009,480.2
"Wilbarger County, Texas(6,10)",48487,480.2
"Upson County, Georgia(7,9)",13293,480.2
"Polk County, Tennessee(6,10)",47139,480.2
"Rush County, Indiana(6,10)",18139,480.1
"Kossuth County, Iowa(7,8)",19109,480
"Clarendon County, South Carolina(6,10)",45027,479.9
"Erie County, Ohio(6,10)",39043,479.9
"Tuscaloosa County, Alabama(6,10)",1125,479.9
"Bedford County, Pennsylvania(6,10)",42009,479.9
"Wright County, Missouri(6,10)",29229,479.9
"Berrien County, Michigan(6,10)",26021,479.8 #  
"Tompkins County, New York(6,10)",36109,479.8
"Ward County, North Dakota(6,10)",38101,479.7
"Orange County, Vermont(6,10)",50017,479.7
"Cumberland County, Maine(6,10)",23005,479.6
"Franklin Parish, Louisiana(7,9)",22041,479.6
"Washington County, Iowa(7,8)",19183,479.6
"Jennings County, Indiana(6,10)",18079,479.5
"Clermont County, Ohio(6,10)",39025,479.5
"Accomack County, Virginia(6,10)",51001,479.4
"Massac County, Illinois(6,10)",17127,479.3
"Henry County, Tennessee(6,10)",47079,479.3
"Barnes County, North Dakota(6,10)",38003,479.1
"Brown County, Wisconsin(6,10)",55009,479.1
"Perry County, Pennsylvania(6,10)",42099,479.1
"Union County, Indiana(6,10)",18161,479
"Shasta County, California(7,9)",6089,478.8
"Lake County, Indiana(6,10)",18089,478.8
"Gordon County, Georgia(7,9)",13129,478.8
"Otsego County, New York(6,10)",36077,478.7
"Major County, Oklahoma(6,10)",40093,478.7
"Erie County, Pennsylvania(6,10)",42049,478.6
"Panola County, Mississippi(6,10)",28107,478.6
"Licking County, Ohio(6,10)",39089,478.5
"Trumbull County, Ohio(6,10)",39155,478.5
"Blair County, Pennsylvania(6,10)",42013,478.4
"Kennebec County, Maine(6,10)",23011,478.4
"Menominee County, Wisconsin(6,10)",55078,478.4
"Lyon County, Iowa(7,8)",19119,478.3
"Androscoggin County, Maine(6,10)",23001,478.2
"Rock Island County, Illinois(6,10)",17161,478.1
"Marathon County, Wisconsin(6,10)",55073,478.1
"Vernon Parish, Louisiana(7,9)",22115,478.1
"Piscataquis County, Maine(6,10)",23021,478.1
"Lincoln County, Mississippi(6,10)",28085,478.1
"Cass County, Nebraska(6,10)",31025,478
"Audubon County, Iowa(7,8)",19009,477.8
"Person County, North Carolina(6,10)",37145,477.8
"Clay County, Iowa(7,8)",19041,477.7
"Wayne County, Indiana(6,10)",18177,477.6
"Harrison County, Iowa(7,8)",19085,477.6
"Oxford County, Maine(6,10)",23017,477.6
"Henry County, Georgia(7,9)",13151,477.6
"Barbour County, Alabama(6,10)",1005,477.5
"Onslow County, North Carolina(6,10)",37133,477.5
"Clay County, Alabama(6,10)",1027,477.4
"Linn County, Oregon(6,10)",41043,477.4
"Ulster County, New York(6,10)",36111,477.4
"Callaway County, Missouri(6,10)",29027,477.4
"Houston County, Alabama(6,10)",1069,477.3
"Ketchikan Gateway Borough, Alaska(6,10)",2130,477.3
"Iredell County, North Carolina(6,10)",37097,477.1
"Henderson County, Kentucky(7,9)",21101,477.1
"Fond du Lac County, Wisconsin(6,10)",55039,477
"Habersham County, Georgia(7,9)",13137,477
"Glacier County, Montana(6,10)",30035,477
"Davison County, South Dakota(6,10)",46035,476.9
"Mississippi County, Missouri(6,10)",29133,476.9
"Hunt County, Texas(6,10)",48231,476.8
"Porter County, Indiana(6,10)",18127,476.7
"Jasper County, Georgia(7)",13159,476.7
"Douglas County, Nebraska(6,10)",31055,476.6
"Grant County, Nebraska(6,10)",31075,476.6
"Stephens County, Georgia(7,9)",13257,476.6
"Oconee County, South Carolina(6,10)",45073,476.6
"Westmoreland County, Pennsylvania(6,10)",42129,476.6
"Shelby County, Missouri(6,10)",29205,476.5
"Crawford County, Ohio(6,10)",39033,476.5
"Fulton County, Georgia(7,8)",13121,476.5
"Bolivar County, Mississippi(6,10)",28011,476.3
"Columbia County, Washington(6,10)",53013,476.2
"Caledonia County, Vermont(6,10)",50005,476.2
"Beaver County, Pennsylvania(6,10)",42007,476.1
"Columbia County, Wisconsin(6,10)",55021,476.1
"Early County, Georgia(7,9)",13099,476.1
"Newton County, Georgia(7,9)",13217,476
"LaPorte County, Indiana(6,10)",18091,476
"Rutland County, Vermont(6,10)",50021,476
"Calhoun County, Alabama(6,10)",1015,475.9
"Screven County, Georgia(7,9)",13251,475.8
"Yellowstone County, Montana(6,10)",30111,475.8
"Clinton County, Illinois(6,10)",17027,475.8
"Mobile County, Alabama(6,10)",1097,475.8
"Jackson County, West Virginia(6,10)",54035,475.8
"Leake County, Mississippi(6,10)",28079,475.7
"Heard County, Georgia(7,9)",13149,475.7
"Buncombe County, North Carolina(6,10)",37021,475.7
"Sullivan County, New Hampshire(6,10)",33019,475.7
"Pope County, Arkansas(6,10)",5115,475.7
"Scott County, Indiana(6,10)",18143,475.7
"Gladwin County, Michigan(6,10)",26051,475.7 #  
"Louisa County, Iowa(7,8)",19115,475.6
"Toole County, Montana(6,10)",30101,475.5
"Taylor County, Iowa(7,8)",19173,475.5
"Anderson County, South Carolina(6,10)",45007,475.4
"Washington County, Ohio(6,10)",39167,475.4
"Richmond City, Virginia(6,10)",51760,475.4
"Saginaw County, Michigan(6,10)",26145,475.4 #  
"Baker County, Florida(6,10)",12003,475.3
"Pontotoc County, Oklahoma(6,10)",40123,475.3
"Traill County, North Dakota(6,10)",38097,475.3
"Montcalm County, Michigan(6,10)",26117,475.3 #  
"Franklin County, Missouri(6,10)",29071,475.2
"Orange County, Indiana(6,10)",18117,475.2
"Kootenai County, Idaho(6,10)",16055,475.2
"Carroll County, Tennessee(6,10)",47017,475.2
"Bell County, Texas(6,10)",48027,475.2
"Whiteside County, Illinois(6,10)",17195,475.2
"Yukon-Koyukuk Census Area, Alaska(6,10)",2290,475.1
"Hampshire County, West Virginia(6,10)",54027,475.1
"Douglas County, Illinois(6,10)",17041,475.1
"Switzerland County, Indiana(6,10)",18155,475
"Marin County, California(7,8)",6041,475
"Autauga County, Alabama(6,10)",1001,475
"Sumter County, South Carolina(6,10)",45085,474.9
"Linn County, Iowa(7,8)",19113,474.8
"Waukesha County, Wisconsin(6,10)",55133,474.7
"Lake County, Florida(6,10)",12069,474.6
"Fayette County, Alabama(6,10)",1057,474.6
"Tate County, Mississippi(6,10)",28137,474.6
"Hillsborough County, Florida(6,10)",12057,474.5
"Winston County, Mississippi(6,10)",28159,474.4
"McHenry County, Illinois(6,10)",17111,474.4
"Sullivan County, New York(6,10)",36105,474.3
"Snyder County, Pennsylvania(6,10)",42109,474.1
"Jasper County, Indiana(6,10)",18073,474.1
"Calumet County, Wisconsin(6,10)",55015,474.1
"Rolette County, North Dakota(6,10)",38079,474.1
"Tulsa County, Oklahoma(6,10)",40143,474
"Floyd County, Indiana(6,10)",18043,474
"Kershaw County, South Carolina(6,10)",45055,474
"St. Mary Parish, Louisiana(7,9)",22101,474
"Jefferson Parish, Louisiana(7,9)",22051,473.9
"Johnson County, Iowa(7,8)",19103,473.8
"Horry County, South Carolina(6,10)",45051,473.8
"Montgomery County, Mississippi(6,10)",28097,473.8
"Harrison County, Missouri(6,10)",29081,473.6
"Claiborne Parish, Louisiana(7,9)",22027,473.5
"Clearfield County, Pennsylvania(6,10)",42033,473.5
"Jackson County, Michigan(6,10)",26075,473.5 #  
"Madison County, Nebraska(6,10)",31119,473.4
"Pasquotank County, North Carolina(6,10)",37139,473.4
"Guernsey County, Ohio(6,10)",39059,473.4
"Day County, South Dakota(6,10)",46037,473.4
"Galax City, Virginia(6,10)",51640,473.4
"Providence County, Rhode Island(6,10)",44007,473.3
"Kent County, Michigan(6,10)",26081,473.3 #  
"Dawson County, Georgia(7,9)",13085,473.3
"White County, Arkansas(6,10)",5145,473.3
"Tehama County, California(7,9)",6103,473.2
"Bristol County, Rhode Island(6,10)",44001,473.2
"Portsmouth City, Virginia(6,10)",51740,473.2
"Sweet Grass County, Montana(6,10)",30097,473.1
"Franklin County, Ohio(6,10)",39049,473.1
"Middlesex County, Massachusetts(6,10)",25017,473.1
"Bowman County, North Dakota(6,10)",38011,472.9
"Walton County, Georgia(7,9)",13297,472.9
"Ray County, Missouri(6,10)",29177,472.9
"Etowah County, Alabama(6,10)",1055,472.9
"Sullivan County, Tennessee(6,10)",47163,472.8
"Benzie County, Michigan(6,10)",26019,472.8 #  
"Morgan County, Alabama(6,10)",1103,472.8
"Coffee County, Tennessee(6,10)",47031,472.8
"Aroostook County, Maine(6,10)",23003,472.8
"Antelope County, Nebraska(6,10)",31003,472.7
"Walker County, Texas(6,10)",48471,472.7
"Dallas County, Arkansas(6,10)",5039,472.7
"Blaine County, Oklahoma(6,10)",40011,472.6
"Halifax County, North Carolina(6,10)",37083,472.6
"Carroll County, Ohio(6,10)",39019,472.5
"Randolph County, Illinois(6,10)",17157,472.5
"Berks County, Pennsylvania(6,10)",42011,472.4
"Solano County, California(7,9)",6095,472.3
"Pulaski County, Arkansas(6,10)",5119,472.3
"Baltimore County, Maryland(6,10)",24005,472.3
"Bland County, Virginia(6,10)",51021,472.2
"Columbia County, New York(6,10)",36021,472.2
"Davidson County, Tennessee(6,10)",47037,472.2
"Waupaca County, Wisconsin(6,10)",55135,472.2
"Washburn County, Wisconsin(6,10)",55129,472.2
"Franklin County, North Carolina(6,10)",37069,472.1
"Jones County, Georgia(7,9)",13169,472.1
"McLean County, Illinois(6,10)",17113,472.1
"Pike County, Georgia(7,9)",13231,472
"Suffolk City, Virginia(6,10)",51800,472
"Muhlenberg County, Kentucky(7,9)",21177,472
"Carter County, Oklahoma(6,10)",40019,472
"Johnson County, Missouri(6,10)",29101,472
"Marquette County, Wisconsin(6,10)",55077,471.9
"Union County, Georgia(7,9)",13291,471.7
"Lebanon County, Pennsylvania(6,10)",42075,471.7
"Wayne County, Illinois(6,10)",17191,471.7
"Northumberland County, Pennsylvania(6,10)",42097,471.7
"Kendall County, Illinois(6,10)",17093,471.5
"Russell County, Kentucky(7,9)",21207,471.5
"Tolland County, Connecticut(7,8)",9013,471.5
"Morgan County, Georgia(7)",13211,471.5
"Fayette County, Tennessee(6,10)",47047,471.4
"Twin Falls County, Idaho(6,10)",16083,471.4
"Jackson County, Illinois(6,10)",17077,471.4
"Clay County, Florida(6,10)",12019,471.3
"Treasure County, Montana(6,10)",30103,471.2
"Preble County, Ohio(6,10)",39135,471.1
"Clark County, Ohio(6,10)",39023,471.1
"Ben Hill County, Georgia(7,9)",13017,471.1
"Craig County, Oklahoma(6,10)",40035,471.1
"Chattooga County, Georgia(7,9)",13055,471.1
"Marion County, Iowa(7,8)",19125,471
"Stutsman County, North Dakota(6,10)",38093,471
"Somerset County, New Jersey(7,8)",34035,471
"Hamilton County, Tennessee(6,10)",47065,470.9
"St. Charles Parish, Louisiana(7,9)",22089,470.8
"Marion County, Oregon(6,10)",41047,470.8
"Cook County, Illinois(6,10)",17031,470.8
"Cayuga County, New York(6,10)",36011,470.8
"Cass County, Iowa(7,8)",19029,470.8
"Adams County, Pennsylvania(6,10)",42001,470.7
"Pasco County, Florida(6,10)",12101,470.7
"Sumner County, Tennessee(6,10)",47165,470.6
"Jefferson County, Oklahoma(6,10)",40067,470.4
"Livingston County, Missouri(6,10)",29117,470.4
"Kenosha County, Wisconsin(6,10)",55059,470.4
"Burke County, Georgia(7,9)",13033,470.4
"Pickens County, South Carolina(6,10)",45077,470.4
"Cobb County, Georgia(7,8)",13067,470.3
"Worcester County, Massachusetts(6,10)",25027,470.3
"Lewis County, New York(6,10)",36049,470.1
"Overton County, Tennessee(6,10)",47133,470.1
"Adams County, Mississippi(6,10)",28001,470
"Worth County, Iowa(7,8)",19195,470
"Polk County, Oregon(6,10)",41053,469.8
"Amador County, California(7,9)",6005,469.8
"Woodbury County, Iowa(7,8)",19193,469.7
"Adair County, Kentucky(7,9)",21001,469.7
"Greene County, Tennessee(6,10)",47059,469.7
"Kalkaska County, Michigan(6,10)",26079,469.6 #  
"Buchanan County, Missouri(6,10)",29021,469.6
"Raleigh County, West Virginia(6,10)",54081,469.6
"Randolph County, Missouri(6,10)",29175,469.5
"Lamar County, Texas(6,10)",48277,469.5
"Giles County, Tennessee(6,10)",47055,469.4
"Hall County, Nebraska(6,10)",31079,469.4
"Woodford County, Illinois(6,10)",17203,469.4
"Cannon County, Tennessee(6,10)",47015,469.4
"Pierce County, Georgia(7,9)",13229,469.3
"Matanuska-Susitna Borough, Alaska(6,10)",2170,469.3
"Cocke County, Tennessee(6,10)",47029,469.2
"Christian County, Kentucky(7,9)",21047,469.2
"Warren County, Mississippi(6,10)",28149,469.1
"Alamance County, North Carolina(6,10)",37001,469.1
"Fulton County, Indiana(6,10)",18049,469.1
"Newport County, Rhode Island(6,10)",44005,469
"Ada County, Idaho(6,10)",16001,469
"White County, Georgia(7,9)",13311,469
"Brooks County, Georgia(7,9)",13027,469
"Oldham County, Texas(6,10)",48359,469
"Knox County, Illinois(6,10)",17095,469
"Crawford County, Georgia(7,9)",13079,468.9
"Benewah County, Idaho(6,10)",16009,468.9
"Lincoln County, Missouri(6,10)",29113,468.8
"Ford County, Illinois(6,10)",17053,468.7
"Bollinger County, Missouri(6,10)",29017,468.7
"Madison County, Indiana(6,10)",18095,468.7
"Hancock County, Illinois(6,10)",17067,468.6
"Franklin County, Pennsylvania(6,10)",42055,468.5
"Greenwood County, South Carolina(6,10)",45047,468.5
"Henry County, Indiana(6,10)",18065,468.4
"Van Buren County, Tennessee(6,10)",47175,468.4
"Tyler County, West Virginia(6,10)",54095,468.3
"Harnett County, North Carolina(6,10)",37085,468.2
"Pontotoc County, Mississippi(6,10)",28115,468.2
"Schoharie County, New York(6,10)",36095,468.2
"Anne Arundel County, Maryland(6,10)",24003,468.1
"Arkansas County, Arkansas(6,10)",5001,468.1
"Bergen County, New Jersey(7,8)",34003,468.1
"Lyman County, South Dakota(6,10)",46085,468.1
"Jasper County, Mississippi(6,10)",28061,468.1
"Franklin City, Virginia(6,10)",51620,468
"Calhoun County, South Carolina(6,10)",45017,468
"Pike County, Ohio(6,10)",39131,468
"Henderson County, North Carolina(6,10)",37089,468
"Plymouth County, Iowa(7,8)",19149,467.9
"Toombs County, Georgia(7,9)",13279,467.9
"Adams County, Wisconsin(6,10)",55001,467.9
"Fayette County, Iowa(7,8)",19065,467.8
"Chickasaw County, Iowa(7,8)",19037,467.7
"McDuffie County, Georgia(7,9)",13189,467.6
"Caldwell Parish, Louisiana(7,9)",22021,467.6
"Franklin County, Mississippi(6,10)",28037,467.5
"Washington County, Wisconsin(6,10)",55131,467.5
"LaFourche Parish, Louisiana(7,9)",22057,467.5
"Loudon County, Tennessee(6,10)",47105,467.4
"Adams County, Illinois(6,10)",17001,467.4
"Arenac County, Michigan(6,10)",26011,467.3 #  
"Washington County, Vermont(6,10)",50023,467.3
"Pettis County, Missouri(6,10)",29159,467.3
"Scurry County, Texas(6,10)",48415,467.2
"Steuben County, New York(6,10)",36101,467.1
"Hamilton County, Ohio(6,10)",39061,467.1
"DeBaca County, New Mexico(7,8)",35011,467.1
"Murray County, Oklahoma(6,10)",40099,467.1
"Henderson County, Tennessee(6,10)",47077,467.1
"Clark County, Illinois(6,10)",17023,467
"Marshall County, Iowa(7,8)",19127,467
"Keokuk County, Iowa(7,8)",19107,466.9
"Nez Perce County, Idaho(6,10)",16069,466.9
"Clark County, Indiana(6,10)",18019,466.8
"Yamhill County, Oregon(6,10)",41071,466.8
"Middlesex County, New Jersey(7,8)",34023,466.7
"Rabun County, Georgia(7,9)",13241,466.6
"Palo Pinto County, Texas(6,10)",48363,466.6
"Winnebago County, Illinois(6,10)",17201,466.6
"Jefferson County, Alabama(6,10)",1073,466.5
"Harper County, Oklahoma(6,10)",40059,466.5
"Clarke County, Mississippi(6,10)",28023,466.5
"Crawford County, Wisconsin(6,10)",55023,466.4
"Franklin County, New York(6,10)",36033,466.4
"Marinette County, Wisconsin(6,10)",55075,466.3
"Huntington County, Indiana(6,10)",18069,466.3
"Jasper County, Iowa(7,8)",19099,466.2
"Union County, South Carolina(6,10)",45087,466.2
"Lawrence County, Indiana(6,10)",18093,466.2
"Muskingum County, Ohio(6,10)",39119,466.1
"Camp County, Texas(6,10)",48063,466
"Orleans Parish, Louisiana(7,9)",22071,466
"Randolph County, Alabama(6,10)",1111,465.9
"Lorain County, Ohio(6,10)",39093,465.9
"Talladega County, Alabama(6,10)",1121,465.9
"Clatsop County, Oregon(6,10)",41007,465.6
"McDonough County, Illinois(6,10)",17109,465.6
"McKean County, Pennsylvania(6,10)",42083,465.6
